Python 2.7.6 (default, Nov 10 2013, 19:24:18) [MSC v.1500 32 bit (Intel)] on win32
Type "help", "copyright", "credits" or "license" for more information.

Imported NumPy 1.8.1, SciPy 0.14.0, Matplotlib 1.3.1
+ guidata 1.6.1, guiqwt 2.3.2
Type "scientific" for more details.
>>> runfile('C:/Python27/Lib/site-packages/xy/Projects/dbn_try1.py', wdir=r'C:/Python27/Lib/site-packages/xy/Projects')
... loading data
... building the model
... getting the pretraining functions
... pre-training the model
Pre-training layer 0, epoch 0, cost  -16.0452478425
Pre-training layer 0, epoch 1, cost  -13.7059211771
Pre-training layer 0, epoch 2, cost  -13.1354734145
Pre-training layer 0, epoch 3, cost  -12.4763257672
Pre-training layer 0, epoch 4, cost  -12.1323921022
Pre-training layer 0, epoch 5, cost  -11.7729705437
Pre-training layer 0, epoch 6, cost  -11.5083618166
Pre-training layer 0, epoch 7, cost  -11.26637092
Pre-training layer 0, epoch 8, cost  -11.0185925071
Pre-training layer 0, epoch 9, cost  -10.8784408839
Pre-training layer 0, epoch 10, cost  -10.6701954536
Pre-training layer 0, epoch 11, cost  -10.5684797567
Pre-training layer 0, epoch 12, cost  -10.4419068018
Pre-training layer 0, epoch 13, cost  -10.3456708178
Pre-training layer 0, epoch 14, cost  -10.238333495
Pre-training layer 0, epoch 15, cost  -10.1810546781
Pre-training layer 0, epoch 16, cost  -10.1417211677
Pre-training layer 0, epoch 17, cost  -10.0508133524
Pre-training layer 0, epoch 18, cost  -10.0003525374
Pre-training layer 0, epoch 19, cost  -9.93562714227
Pre-training layer 0, epoch 20, cost  -9.90728034194
Pre-training layer 0, epoch 21, cost  -9.88481240445
Pre-training layer 0, epoch 22, cost  -9.83491799838
Pre-training layer 0, epoch 23, cost  -9.81147410404
Pre-training layer 0, epoch 24, cost  -9.77902502447
Pre-training layer 0, epoch 25, cost  -9.76557789267
Pre-training layer 0, epoch 26, cost  -9.75509630578
Pre-training layer 0, epoch 27, cost  -9.70476761484
Pre-training layer 0, epoch 28, cost  -9.71726650416
Pre-training layer 0, epoch 29, cost  -9.69442801867
Pre-training layer 0, epoch 30, cost  -9.65658390595
Pre-training layer 0, epoch 31, cost  -9.66241409222
Pre-training layer 0, epoch 32, cost  -9.63711311497
Pre-training layer 0, epoch 33, cost  -9.63469046932
Pre-training layer 0, epoch 34, cost  -9.61350479618
Pre-training layer 0, epoch 35, cost  -9.66064948275
Pre-training layer 0, epoch 36, cost  -9.60446920488
Pre-training layer 0, epoch 37, cost  -9.63109495854
Pre-training layer 0, epoch 38, cost  -9.60013522424
Pre-training layer 0, epoch 39, cost  -9.63287745411
Pre-training layer 0, epoch 40, cost  -9.5790485417
Pre-training layer 0, epoch 41, cost  -9.57073725838
Pre-training layer 0, epoch 42, cost  -9.61032138166
Pre-training layer 0, epoch 43, cost  -9.57613177374
Pre-training layer 0, epoch 44, cost  -9.54547054014
Pre-training layer 0, epoch 45, cost  -9.56171091567
Pre-training layer 0, epoch 46, cost  -9.57726490539
Pre-training layer 0, epoch 47, cost  -9.57064824697
Pre-training layer 0, epoch 48, cost  -9.55926853221
Pre-training layer 0, epoch 49, cost  -9.55374619598
Pre-training layer 0, epoch 50, cost  -9.57145875893
Pre-training layer 0, epoch 51, cost  -9.56989759599
Pre-training layer 0, epoch 52, cost  -9.53592519011
Pre-training layer 0, epoch 53, cost  -9.55666123198
Pre-training layer 0, epoch 54, cost  -9.54510286888
Pre-training layer 0, epoch 55, cost  -9.53893770128
Pre-training layer 0, epoch 56, cost  -9.54538950803
Pre-training layer 0, epoch 57, cost  -9.54631502595
Pre-training layer 0, epoch 58, cost  -9.52349933577
Pre-training layer 0, epoch 59, cost  -9.54426450408
Pre-training layer 0, epoch 60, cost  -9.5404751975
Pre-training layer 0, epoch 61, cost  -9.54276888772
Pre-training layer 0, epoch 62, cost  -9.52571584338
Pre-training layer 0, epoch 63, cost  -9.5459111808
Pre-training layer 0, epoch 64, cost  -9.55098864319
Pre-training layer 0, epoch 65, cost  -9.54712531923
Pre-training layer 0, epoch 66, cost  -9.51944841659
Pre-training layer 0, epoch 67, cost  -9.54117553716
Pre-training layer 0, epoch 68, cost  -9.54005920694
Pre-training layer 0, epoch 69, cost  -9.49671611088
Pre-training layer 0, epoch 70, cost  -9.56679287678
Pre-training layer 0, epoch 71, cost  -9.55588189447
Pre-training layer 0, epoch 72, cost  -9.51392182358
Pre-training layer 0, epoch 73, cost  -9.52588648136
Pre-training layer 0, epoch 74, cost  -9.51444133302
Pre-training layer 0, epoch 75, cost  -9.51993791249
Pre-training layer 0, epoch 76, cost  -9.51604788962
Pre-training layer 0, epoch 77, cost  -9.52773636418
Pre-training layer 0, epoch 78, cost  -9.53994237126
Pre-training layer 0, epoch 79, cost  -9.51718178278
Pre-training layer 0, epoch 80, cost  -9.52448557848
Pre-training layer 0, epoch 81, cost  -9.54652604465
Pre-training layer 0, epoch 82, cost  -9.53506739843
Pre-training layer 0, epoch 83, cost  -9.51906948001
Pre-training layer 0, epoch 84, cost  -9.55432337438
Pre-training layer 0, epoch 85, cost  -9.55128584192
Pre-training layer 0, epoch 86, cost  -9.52116063289
Pre-training layer 0, epoch 87, cost  -9.54286911485
Pre-training layer 0, epoch 88, cost  -9.53397981842
Pre-training layer 0, epoch 89, cost  -9.51977108368
Pre-training layer 0, epoch 90, cost  -9.50912412416
Pre-training layer 0, epoch 91, cost  -9.54682468979
Pre-training layer 0, epoch 92, cost  -9.52644620647
Pre-training layer 0, epoch 93, cost  -9.51994554495
Pre-training layer 0, epoch 94, cost  -9.52398976134
Pre-training layer 0, epoch 95, cost  -9.55820981635
Pre-training layer 0, epoch 96, cost  -9.5117388869
Pre-training layer 0, epoch 97, cost  -9.52859814539
Pre-training layer 0, epoch 98, cost  -9.55964913779
Pre-training layer 0, epoch 99, cost  -9.52100381522
Pre-training layer 1, epoch 0, cost  -73.4435697561
Pre-training layer 1, epoch 1, cost  -61.2150326295
Pre-training layer 1, epoch 2, cost  -57.9792273434
Pre-training layer 1, epoch 3, cost  -56.3897695785
Pre-training layer 1, epoch 4, cost  -55.5989378872
Pre-training layer 1, epoch 5, cost  -54.9999186859
Pre-training layer 1, epoch 6, cost  -54.614259368
Pre-training layer 1, epoch 7, cost  -54.3314384088
Pre-training layer 1, epoch 8, cost  -54.1080591603
Pre-training layer 1, epoch 9, cost  -53.9645653878
Pre-training layer 1, epoch 10, cost  -53.8602732072
Pre-training layer 1, epoch 11, cost  -53.7875277825
Pre-training layer 1, epoch 12, cost  -53.7079907236
Pre-training layer 1, epoch 13, cost  -53.6532363631
Pre-training layer 1, epoch 14, cost  -53.6362798105
Pre-training layer 1, epoch 15, cost  -53.5869716801
Pre-training layer 1, epoch 16, cost  -53.5314728038
Pre-training layer 1, epoch 17, cost  -53.501832452
